route|file|top|methods|mutating|auth_first|auth_line|auth_class|auth_all|permission_codes|admin_level|zod_import_line|validation|uuid_check_line|has_dynamic_segment|audit_first|audit_line|audit_all|supabase_client|bounding|unbounded_flag|n_select|n_from|n_eq|n_rpc|rate_limit_line|ui_callers|ui_caller_files|prefix_ui_callers|internal_api_callers|internal_files|test_callers|external_callers|external_files|orphan_status|lines|with_route|runtime|deprecated
/api/school-admin/classes/bulk-create|apps/host/src/app/api/school-admin/classes/bulk-create/route.ts|school-admin|POST|true|authorizeSchoolAdmin|53|RBAC|authorizeSchoolAdmin@53|class.manage||22|zod@37|0|false|logSchoolAudit|201|logSchoolAudit@201|service-role|single(x1)||2|2|1|0|0|1|packages/lib/src/school-admin/bulk-roster.ts(1)||0||1|1|scripts/route-access-manifest.json(1)|CALLED|216|false||false
/api/school-admin/classes/enrollments|apps/host/src/app/api/school-admin/classes/enrollments/route.ts|school-admin|DELETE,GET,POST|true|authorizeSchoolAdmin|9|RBAC|authorizeSchoolAdmin@9|class.manage||0|NONE|0|false|logSchoolAudit|125|logSchoolAudit@125|service-role|single(x2)||5|6|9|0|0|0|||0||0|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|138|false||false
/api/school-admin/classes|apps/host/src/app/api/school-admin/classes/route.ts|school-admin|GET,PATCH,POST|true|authorizeSchoolAdmin|13|RBAC|authorizeSchoolAdmin@13|class.manage||0|NONE|7|false|logSchoolAudit|124|logSchoolAudit@124|service-role|range(x1)@32;single(x1)||3|4|6|0|0|5|apps/host/src/app/school-admin/announcements/page.tsx(1),apps/host/src/app/school-admin/classes/page.tsx(2),apps/host/src/app/school-admin/exams/page.tsx(1),apps/host/src/app/school-admin/parents/page.tsx(1)||0||2|1|scripts/route-access-manifest.json(1)|CALLED|197|false||false
/api/school-admin/content/bulk|apps/host/src/app/api/school-admin/content/bulk/route.ts|school-admin|POST|true|authorizeSchoolAdmin|142|RBAC|authorizeSchoolAdmin@142|school.manage_content||0|NONE|0|false|logSchoolAudit|241|logSchoolAudit@241|service-role|NONE||1|3|0|0|0|3|apps/host/src/app/school-admin/content/page.tsx(1),packages/lib/src/audit.ts(1),packages/lib/src/rbac.ts(1)||0||1|2|supabase/migrations/20260610110000_seed_content_and_diagnostic_permissions.sql(1),scripts/route-access-manifest.json(1)|CALLED|276|false||false
/api/school-admin/content|apps/host/src/app/api/school-admin/content/route.ts|school-admin|DELETE,GET,PATCH,POST|true|authorizeSchoolAdmin|132|RBAC|authorizeSchoolAdmin@132|school.manage_content||0|NONE|0|false|logSchoolAudit|636|logSchoolAudit@636|service-role|range(x1)@167;single(x2);limitParam@141||5|5|10|0|0|2|apps/host/src/app/school-admin/content/page.tsx(4),packages/lib/src/rbac.ts(1)||0||2|2|supabase/migrations/20260610110000_seed_content_and_diagnostic_permissions.sql(1),scripts/route-access-manifest.json(1)|CALLED|668|false||false
/api/school-admin/contracts|apps/host/src/app/api/school-admin/contracts/route.ts|school-admin|GET|false|authorizeSchoolAdmin|34|RBAC|authorizeSchoolAdmin@34;createSupabaseServerClient(RLS)@74|||0|NONE|0|false|NONE|||rls|range(x1)@83;limitParam@50||1|2|3|0|0|0|||0||1|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|109|false|nodejs|false
/api/school-admin/data-export|apps/host/src/app/api/school-admin/data-export/route.ts|school-admin|POST|true|authorizeSchoolAdmin|217|RBAC|authorizeSchoolAdmin@217|||0|NONE|0|false|logSchoolAudit|265|logSchoolAudit@265|service-role|limit(x1)@110||5|5|7|0|0|0|||1|apps/host/src/app/api/school-admin/reports/export/route.ts(1)|2|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|297|false||false
/api/school-admin/escalations|apps/host/src/app/api/school-admin/escalations/route.ts|school-admin|GET|false|authorizeSchoolAdmin|32|RBAC|authorizeSchoolAdmin@32|institution.view_analytics||0|NONE|0|false|NONE|||service-role|limit(x1)@69||2|2|3|0|0|1|apps/host/src/app/school-admin/escalations/page.tsx(2)||2|apps/host/src/app/api/school-admin/safeguarding/route.ts(1),apps/host/src/app/api/teacher/escalate/route.ts(1)|3|1|scripts/route-access-manifest.json(1)|CALLED|110|false||false
/api/school-admin/exams|apps/host/src/app/api/school-admin/exams/route.ts|school-admin|DELETE,GET,PATCH,POST|true|authorizeSchoolAdmin|40|RBAC|authorizeSchoolAdmin@40|school.manage_exams||0|NONE|0|false|logSchoolAudit|750|logSchoolAudit@750|service-role|range(x1)@81;single(x5);limitParam@49||6|7|11|0|0|1|apps/host/src/app/school-admin/exams/page.tsx(3)||0||1|1|scripts/route-access-manifest.json(1)|CALLED|773|false||false
/api/school-admin/gst-details|apps/host/src/app/api/school-admin/gst-details/route.ts|school-admin|GET,PUT|true|authorizeSchoolAdmin|32|RBAC|authorizeSchoolAdmin@32|||6|zod@76|0|false|NONE|||service-role|maybeSingle(x2)||2|2|1|0|0|0|||0||1|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|145|false||false
/api/school-admin/integrations/install|apps/host/src/app/api/school-admin/integrations/install/route.ts|school-admin|POST|true|authorizeSchoolAdmin|36|RBAC|authorizeSchoolAdmin@36|<var:PERMISSION>||0|NONE|0|false|logSchoolAudit|190|logSchoolAudit@190|service-role|single(x2);maybeSingle(x2)||4|4|5|0|0|0|||0||0|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|215|false|nodejs|false
/api/school-admin/integrations/uninstall|apps/host/src/app/api/school-admin/integrations/uninstall/route.ts|school-admin|POST|true|authorizeSchoolAdmin|27|RBAC|authorizeSchoolAdmin@27|<var:PERMISSION>||0|NONE|0|false|logSchoolAudit|83|logSchoolAudit@83|service-role|maybeSingle(x1)||1|1|3|0|0|0|||0||0|1|scripts/route-access-manifest.json(1)|ORPHAN-FRONTEND|105|false|nodejs|false
/api/school-admin/invite-codes|apps/host/src/app/api/school-admin/invite-codes/route.ts|school-admin|DELETE,GET,POST|true|authorizeSchoolAdmin|24|RBAC|authorizeSchoolAdmin@24|institution.manage_students||0|NONE|0|false|logSchoolAudit|315|logSchoolAudit@315|service-role|single(x2);maybeSingle(x1)||4|5|6|0|0|1|apps/host/src/app/school-admin/invite-codes/page.tsx(1)||0||3|1|scripts/route-access-manifest.json(1)|CALLED|346|false||false
/api/school-admin/invoices|apps/host/src/app/api/school-admin/invoices/route.ts|school-admin|GET|false|authorizeSchoolAdmin|23|RBAC|authorizeSchoolAdmin@23|||0|NONE|0|false|NONE|||service-role|range(x1)@51;limitParam@31||1|1|2|0|0|1|apps/host/src/app/school-admin/billing/page.tsx(1)||0||1|1|scripts/route-access-manifest.json(1)|CALLED|94|false||false
/api/school-admin/leadership|apps/host/src/app/api/school-admin/leadership/route.ts|school-admin|GET|false|NONE||NONE||||0|NONE|0|false|NONE|||none|limit(x2)@168||2|2|1|3|0|1|apps/host/src/app/school-admin/reports/LeadershipTab.tsx(3)||0||2|1|scripts/route-access-manifest.json(1)|CALLED|256|false||false
/api/school-admin/modules|apps/host/src/app/api/school-admin/modules/route.ts|school-admin|GET,PUT|true|authorizeSchoolAdmin|67|RBAC|authorizeSchoolAdmin@67|||0|NONE|0|false|logSchoolAudit|231|logSchoolAudit@231|service-role|single(x1);maybeSingle(x2)||4|4|3|0|0|4|apps/host/src/app/school-admin/modules/page.tsx(3),apps/host/src/app/school-admin/_components/SchoolAdminShell.tsx(3),packages/lib/src/audit.ts(1),packages/lib/src/modules/registry.ts(1)||1|apps/host/src/app/api/teacher/modules/route.ts(1)|2|1|scripts/route-access-manifest.json(1)|CALLED|255|false||false
/api/school-admin/overview|apps/host/src/app/api/school-admin/overview/route.ts|school-admin|GET|false|NONE||NONE||||0|NONE|0|false|NONE|||none|NONE||0|0|0|1|0|2|apps/host/src/app/school-admin/CommandCenter.tsx(2),packages/lib/src/school-admin/command-center-types.ts(1)||0||5|1|scripts/route-access-manifest.json(1)|CALLED|87|false||false
/api/school-admin/parents|apps/host/src/app/api/school-admin/parents/route.ts|school-admin|GET,POST|true|authorizeSchoolAdmin|10|RBAC|authorizeSchoolAdmin@10;internal-caller-signing@396|school.manage_settings||0|NONE|0|false|logSchoolAudit|517|logSchoolAudit@517|service-role|range(x1)@67;maybeSingle(x2)||10|11|14|0|0|1|apps/host/src/app/school-admin/parents/page.tsx(4)||0||3|2|supabase/migrations/20260620001500_whatsapp_notify_security_policy.sql(1),scripts/route-access-manifest.json(1)|CALLED|540|false||false
/api/school-admin/rbac|apps/host/src/app/api/school-admin/rbac/route.ts|school-admin|GET,POST|true|authorizeSchoolAdmin|14|RBAC|authorizeSchoolAdmin@14|institution.manage||0|NONE|0|false|logAudit|197|logAudit@197|service-role|NONE||0|0|0|0|0|1|apps/host/src/app/school-admin/rbac/page.tsx(6)||1|apps/host/src/app/api/school-admin/staff/route.ts(1)|1|1|scripts/route-access-manifest.json(1)|CALLED|378|false||false
