useStudyPlan	packages/lib/src/swr.tsx	lines=0	files=0	
useSubjectLookup	packages/lib/src/useSubjectLookup.ts	lines=15	files=5	packages/ui/src/foxy/ChatInput.tsx:4 packages/ui/src/foxy/ConversationHeader.tsx:3 packages/ui/src/foxy/ConversationManager.tsx:4 
useSubjectReadiness	packages/lib/src/useSubjectReadiness.ts	lines=28	files=10	apps/host/src/app/(student)/learn/page.tsx:44 packages/ui/src/exam-briefing/os/ReadinessBriefing.tsx:8 packages/ui/src/exam-briefing/os/WeakChaptersFocus.tsx:9 
useSubjects	packages/lib/src/swr.tsx	lines=0	files=0	
useSubjectsOsFlag	packages/lib/src/use-subjects-os-flag.ts	lines=2	files=1	apps/host/src/app/(student)/learn/page.tsx:46 
useTeacherAllowedSubjects	packages/lib/src/useTeacherAllowedSubjects.ts	lines=16	files=6	apps/host/src/app/teacher/assignments/page.tsx:8 apps/host/src/app/teacher/classes/page.tsx:7 apps/host/src/app/teacher/onboarding/page.tsx:7 
useTeacherAssignmentLifecycle	packages/lib/src/use-teacher-assignment-lifecycle.ts	lines=4	files=3	apps/host/src/app/teacher/CommandCenter.tsx:47 packages/lib/src/use-teacher-gradebook-depth.ts:12 packages/lib/src/use-teacher-parent-comms.ts:14 
useTeacherDashboard	packages/lib/src/teacher/use-teacher-data.ts	lines=3	files=1	apps/host/src/app/teacher/CommandCenter.tsx:26 
useTeacherGradebookDepth	packages/lib/src/use-teacher-gradebook-depth.ts	lines=5	files=3	apps/host/src/app/teacher/CommandCenter.tsx:48 apps/host/src/app/teacher/grade-book/page.tsx:24 packages/lib/src/use-teacher-parent-comms.ts:15 
useTeacherParentComms	packages/lib/src/use-teacher-parent-comms.ts	lines=2	files=1	apps/host/src/app/teacher/CommandCenter.tsx:49 
useTenant	packages/lib/src/tenant-context.ts	lines=14	files=7	apps/host/src/app/school-admin/_components/SchoolAdminShell.tsx:6 apps/host/src/app/teacher/_components/TeacherShell.tsx:15 packages/ui/src/school/NotificationCenter.tsx:6 
useTenantConfig	packages/lib/src/tenant-domain/client.tsx	lines=0	files=0	
useTenantConfigValue	packages/lib/src/tenant-domain/client.tsx	lines=0	files=0	
useTenantType	packages/lib/src/tenant-domain/client.tsx	lines=0	files=0	
useTestOsFlag	packages/lib/src/use-test-os-flag.ts	lines=2	files=1	apps/host/src/app/exam-briefing/page.tsx:30 
useToast	packages/ui/src/ui/primitives/Toast.tsx	lines=4	files=3	apps/host/src/app/dev/ui/page.tsx:46 apps/host/src/app/tests/page.tsx:25 packages/ui/src/ui/primitives/index.ts:118 
useTodayQueue	packages/lib/src/today/use-today-queue.ts	lines=14	files=6	apps/host/src/app/(student)/dashboard/StudentOSDashboard.tsx:46 apps/host/src/app/today/page.tsx:56 packages/ui/src/dashboard/os/TodaysMission.tsx:8 
useTouchAndMouse	packages/lib/src/hooks/useTouchAndMouse.ts	lines=2	files=1	apps/host/src/hooks/useTouchAndMouse.ts:14 
useUpcomingExams	packages/ui/src/exam-briefing/os/useUpcomingExams.ts	lines=12	files=8	packages/ui/src/exam-briefing/os/briefing-helpers.ts:18 packages/ui/src/exam-briefing/os/ExamBriefingHub.tsx:10 packages/ui/src/exam-briefing/os/PredictedScoreCard.tsx:29 
useVoicePlayback	packages/ui/src/foxy/useVoicePlayback.ts	lines=0	files=0	
useWelcomeV2	packages/ui/src/landing/WelcomeV2Context.tsx	lines=104	files=49	apps/host/src/app/about/AboutContent.tsx:3 apps/host/src/app/for-parents/page.tsx:4 packages/ui/src/alfabot/AlfaBotEscapeHatch.tsx:18 
